Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
MS,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",54,5941,243.2991237994013,114.52405784813706
MS,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",9,650,165.53701597416665,90.61522399712963
MS,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",24,1797,220.21244224476598,84.05051842686525
MS,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",12,2224,216.50134451585714,203.3751120429881
MS,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",5,511,218.01368436980002,145.80273687396
MS,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,44,86.26,130.26
MS,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",1,63,25.18,88.18
MT,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,1184,204.26872190327498,57.84453007930313
MT,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",18,849,188.16906566364517,57.620503647980286
MT,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,36,398.97764411,434.97764411
MT,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,153,129.5160446816,282.51604468159996
NC,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",287,20257,212.4250255948374,71.32203841670676
NC,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5,1048,332.22608060523805,276.04521612104764
NC,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",2,275,326.84143530999995,300.920717655
NC,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",50,2785,249.41732793037113,60.68834655860743
NC,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,54,400.81453125,454.81453125
NC,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",3,580,287.24114422255553,289.0803814075185
NC,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,441,262.391599749875,234.46386658329166
ND,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,1365,160.8647036897755,63.57769598707398
ND,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",5,142,66.17338707614286,41.63467741522857
NE,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",76,5066,204.78639292799997,69.35245253852632
NE,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",21,936,131.18843191009998,50.81849675762381
NH,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",61,3529,219.93525030432323,61.457954923021695
NH,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",3,339,298.8414051965,212.61380173216665
NH,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",37,1930,138.24028848135484,55.89838617517176
