Rndrng_Prvdr_State_Abrvtn,HCPCS_Cd,Total_Services,Total_Providers,Total_Beneficiaries
MA,64624,114,5,77
MI,64624,111,3,100
RI,64624,111,3,105
NV,64624,110,4,68
NH,64624,106,7,91
SD,64634,100,5,87
WV,64640,99,2,44
PR,64640,93,1,34
WA,64624,87,5,78
ND,64633,81,3,60
DC,64640,79,1,19
AL,64624,77,3,58
SC,64625,76,3,61
ME,64624,70,3,58
ND,64640,69,1,15
WY,64633,69,2,53
HI,77002,65,3,58
RI,64633,64,4,48
VT,64633,64,4,50
GA,64625,57,4,47
IA,64624,56,3,42
NV,64625,56,2,35
HI,64635,55,3,41
ND,64634,42,2,33
DE,64625,42,2,27
ID,64624,42,2,31
ID,64640,41,1,11
OR,64625,40,2,28
VT,64634,39,3,33
AK,64633,36,2,25
PR,64633,34,2,27
PR,64634,34,2,27
GU,77002,33,1,26
RI,64634,30,2,23
AL,64625,27,2,26
AK,64624,27,1,15
ME,64633,22,1,19
KY,64625,21,1,16
SD,64624,20,1,17
HI,64636,18,1,17
GU,64635,17,1,17
IL,64625,17,1,12
ME,64634,17,1,13
AK,64634,14,1,11
GU,64636,14,1,14
WV,64624,14,1,12
NM,64624,14,1,13
WY,64634,14,1,14
MT,64624,13,1,11
DC,64633,12,1,11
SD,64625,11,1,11
MT,64634,11,1,11
MT,64625,11,1,11
