Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc_Urban,Total_Beneficiaries_Urban,Unique_Providers_Urban,Provider_Density_Urban,Urban_Rural_Urban,Rndrng_Prvdr_RUCA_Desc_Rural,Total_Beneficiaries_Rural,Unique_Providers_Rural,Provider_Density_Rural,Urban_Rural_Rural,Gap_Ratio,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider
CA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",27106,315,0.01162104331144396,Urban,0,0.0,0.0,0.0,0,inf,27106,0.0,315,0.0,86.05079365079365,inf
CA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",56,1,0.017857142857142856,Urban,0,0.0,0.0,0.0,0,inf,56,0.0,1,0.0,56.0,inf
CA,O,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",50,1,0.02,Urban,0,0.0,0.0,0.0,0,inf,50,0.0,1,0.0,50.0,inf
CA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",118,3,0.025423728813559324,Urban,0,0.0,0.0,0.0,0,inf,118,0.0,3,0.0,39.333333333333336,inf
CA,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1120,10,0.008928571428571428,Urban,0,0.0,0.0,0.0,0,inf,1120,0.0,10,0.0,112.0,inf
CO,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7090,108,0.015232722143864598,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",127.0,3.0,0.023622047244094488,Rural,0.6448519040902679,7090,127.0,108,3.0,65.64814814814815,42.333333333333336
CO,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7090,108,0.015232722143864598,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",24.0,1.0,0.041666666666666664,Rural,0.36558533145275035,7090,24.0,108,1.0,65.64814814814815,24.0
CO,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7090,108,0.015232722143864598,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",105.0,1.0,0.009523809523809525,Rural,1.5994358251057827,7090,105.0,108,1.0,65.64814814814815,105.0
CO,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",28,1,0.03571428571428571,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",127.0,3.0,0.023622047244094488,Rural,1.5119047619047619,28,127.0,1,3.0,28.0,42.333333333333336
CO,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",28,1,0.03571428571428571,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",24.0,1.0,0.041666666666666664,Rural,0.8571428571428571,28,24.0,1,1.0,28.0,24.0
CO,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",28,1,0.03571428571428571,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",105.0,1.0,0.009523809523809525,Rural,3.7499999999999996,28,105.0,1,1.0,28.0,105.0
CO,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",336,8,0.023809523809523808,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",127.0,3.0,0.023622047244094488,Rural,1.007936507936508,336,127.0,8,3.0,42.0,42.333333333333336
CO,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",336,8,0.023809523809523808,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",24.0,1.0,0.041666666666666664,Rural,0.5714285714285714,336,24.0,8,1.0,42.0,24.0
