Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Services,Drug_Services,Total_Beneficiaries,Unique_Providers,Drug_Service_Pct,Provider_Density,Urban_Rural
IN,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",152,0,136,2,0.0,0.014705882352941176,Rural
IN,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6526,0,6161,68,0.0,0.011037169290699561,Urban
IN,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",64,0,64,3,0.0,0.046875,Urban
IN,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",45,0,45,1,0.0,0.022222222222222223,Rural
IN,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",37,0,34,1,0.0,0.029411764705882353,
KS,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6088,0,5532,101,0.0,0.018257411424439624,Urban
KS,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",215,0,215,2,0.0,0.009302325581395349,Urban
KS,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1670,0,1377,18,0.0,0.013071895424836602,Urban
KS,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2630,0,2188,29,0.0,0.013254113345521023,Urban
KS,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",292,0,292,1,0.0,0.003424657534246575,Urban
KS,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",200,0,199,3,0.0,0.01507537688442211,Urban
KY,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4996,0,4479,54,0.0,0.012056262558606833,Urban
KY,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1157,0,1009,12,0.0,0.011892963330029732,Urban
KY,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",428,0,211,9,0.0,0.04265402843601896,Rural
KY,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",165,0,165,3,0.0,0.01818181818181818,Rural
KY,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",19445,0,19223,57,0.0,0.002965197939967747,Urban
KY,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",253,0,253,1,0.0,0.003952569169960474,Urban
KY,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2960,0,2960,23,0.0,0.007770270270270271,Urban
KY,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",50,0,50,1,0.0,0.02,Rural
KY,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",115,0,115,1,0.0,0.008695652173913044,Rural
LA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16507,0,13583,131,0.0,0.009644408451741146,Urban
LA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",441,0,430,4,0.0,0.009302325581395349,Urban
LA,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",210,0,138,1,0.0,0.007246376811594203,Rural
LA,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1034,0,803,8,0.0,0.009962640099626401,Urban
LA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4524,0,3954,44,0.0,0.01112797167425392,Urban
LA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",125,0,125,1,0.0,0.008,Urban
LA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",285,0,267,3,0.0,0.011235955056179775,Urban
LA,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",286,0,129,4,0.0,0.031007751937984496,Urban
MA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",10758,0,10065,163,0.0,0.016194734227521112,Urban
MA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12317,0,11096,123,0.0,0.01108507570295602,Urban
MA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",177,0,159,1,0.0,0.006289308176100629,Urban
MA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",23,0,23,1,0.0,0.043478260869565216,Urban
MD,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16996,0,14519,147,0.0,0.010124664233073902,Urban
MD,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2004,0,1638,15,0.0,0.009157509157509158,Urban
MD,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",986,0,751,5,0.0,0.006657789613848202,Urban
MD,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1823,0,1489,17,0.0,0.011417058428475487,Urban
MD,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",498,0,373,1,0.0,0.002680965147453083,Rural
MD,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5063,0,4528,72,0.0,0.015901060070671377,Urban
MD,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",286,0,285,5,0.0,0.017543859649122806,Urban
MD,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",731,0,404,4,0.0,0.009900990099009901,Urban
MD,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",811,0,807,6,0.0,0.007434944237918215,Urban
ME,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",750,0,680,16,0.0,0.023529411764705882,Urban
