Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
02540,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,217,27.55447132733333,81.5181571091111
02556,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,121,172.7674210495,293.7674210495
02571,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,181,158.5227333024,339.5227333024
02601,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,534,141.45953533986668,225.1531784466222
02703,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,170,211.01587618725,127.00529206241667
02720,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,62,27.298857143,89.29885714299999
02721,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,42,180.03070833499999,222.03070833499999
02740,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,65,27.0051960785,46.00259803925
02747,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,191,88.51644220027272,55.90328844005454
02780,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,34,27.28,61.28
02818,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,238,373.2002331112,203.7334110370667
02840,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,172,112.26096923,71.0652423075
02879,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,15,135.1375,150.1375
02886,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,69,76.13493092833333,72.56746546416667
02891,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,167,115.66286957799998,141.33143478899999
02903,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,134,182.27904790614284,79.06976197653572
02904,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,11,103.06307692,114.06307692
02906,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,57,144.71230555666668,100.85615277833334
02914,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,421,347.3055357228182,153.66110714456363
02917,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,27,115.22076923,142.22076923
03031,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,115,74.430413386,189.430413386
03054,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,96,346.396493055,221.1982465275
03060,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,278,287.2680292222727,94.2113382037121
03062,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,343,137.64197988166669,80.10699664694444
03063,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,48,57.296583333499996,52.64829166675
03079,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,50,381.69075551500003,215.84537775750002
03101,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,73.484285714,85.484285714
03103,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,407,277.65017377625,114.10836229604168
03104,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,169,62.9738041124,46.394760822479995
03110,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",10,368,146.49490098899997,51.44949009889999
03246,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,44,22.798409091,66.798409091
